feature,mae,max_ae,flagged
eeg_abspow,1.1501020068046905e-5,1.3703227386940853e-4,FALSE
eeg_abspow_c7min_norm,5.663161501451694e-9,8.535069895287961e-8,FALSE
eeg_abspow_p2min_norm,5.646054475486248e-9,8.513164639900594e-8,FALSE
eeg_alpha,5.69044629948825e-10,1.221940254536591e-8,FALSE
eeg_alpha_c7min_norm,4.211703323827972e-9,1.6493750853996403e-7,FALSE
eeg_alpha_p2min_norm,4.73187365037723e-9,1.518527525945501e-7,FALSE
eeg_at,5.778064175062069e-9,7.335591956092458e-8,FALSE
eeg_at_c7min_norm,5.84522663423705e-9,9.991621063853984e-8,FALSE
eeg_at_p2min_norm,6.011507543714286e-9,1.5526395102938295e-7,FALSE
eeg_beta,6.080826242727241e-10,8.969393616720112e-9,FALSE
eeg_beta_c7min_norm,5.353291118934949e-9,1.0284367335522404e-7,FALSE
eeg_beta_p2min_norm,5.090756940721932e-9,8.175710375368794e-8,FALSE
eeg_db,1.1624116073728579,47.12722099833968,TRUE
eeg_db_c7min_norm,6.546263993114311e-4,0.019572281439900863,FALSE
eeg_db_p2min_norm,9.083535453280813e-4,0.03650377045794517,FALSE
eeg_ds,1.1395188067721995,22.74216871161002,TRUE
eeg_ds_c7min_norm,0.0023226719845040483,0.02755306898131904,FALSE
eeg_ds_p2min_norm,0.002647311311815985,0.028485287059022646,FALSE
eeg_dt,0.12322417286321474,1.3430903821565536,TRUE
eeg_dt_c7min_norm,0.002414445710190251,0.01912000211300513,FALSE
eeg_dt_p2min_norm,0.003555330292006941,0.024371724336751388,FALSE
eeg_fdelta,5.960879438762937e-4,0.004329156150100322,FALSE
eeg_fdelta_c7min_norm,8.282568055188481e-4,0.0030469513917408264,FALSE
eeg_fdelta_p2min_norm,9.81305459461847e-4,0.005143834444093165,FALSE
eeg_hcomp,1.1577408020055506e-7,4.6300718281599984e-7,FALSE
eeg_hcomp_c7min_norm,6.266488602226124e-9,8.097475734381021e-8,FALSE
eeg_hcomp_p2min_norm,6.229974550566416e-9,8.501445725173085e-8,FALSE
eeg_higuchi,3.586576537246564e-8,1.129957931667036e-7,FALSE
eeg_higuchi_c7min_norm,4.994095186894453e-9,9.601073003295824e-8,FALSE
eeg_higuchi_p2min_norm,5.125568250990077e-9,7.097681642420639e-8,FALSE
