## Northumbria University, Release r32 (SWID 119)
## 01-01-2024 10:00:00
## -1071 377 -592 257 1618 -697 605 -251 0
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark
41 16 1 0 -280 27 -4 -3 2 0000
-17 -16 0 0 -285 25 1 1 -1 0000
11 10 0 0 -305 4 -1 2 -2 0000
19 -46 0 0 -311 48 1 1 0 0000
12 40 0 0 -294 11 0 4 -2 0000
-3 12 0 0 -299 62 0 -2 1 0000
46 24 1 1 -328 1 4 -2 -5 0000
-2 35 0 0 -301 39 -2 -3 1 0000
61 51 1 1 -299 19 -2 2 1 0000
-1 5 0 0 -279 22 -2 3 1 0000
40 -2 1 0 -296 13 -5 -2 1 0000
69 73 1 1 -311 57 1 2 -1 0000
-41 -25 -1 0 -314 72 -5 0 2 0000
-8 1 0 0 -301 39 0 -2 2 0000
-3 39 0 0 -315 74 -2 0 -1 0000
20 22 0 0 -319 80 -1 1 0 0000
-8 -2 0 0 -301 52 0 -1 3 0000
-79 -68 -2 -1 -273 74 -2 4 2 0000
-72 -46 -1 -1 -286 81 0 1 -1 0000
41 12 1 0 -294 78 -2 0 -2 0000
-8 -18 0 0 -289 101 -3 4 4 0000
-52 -37 -1 -1 -333 122 4 1 0 0000
-4 13 0 0 -296 107 -3 -4 1 0000
38 48 1 0 -318 85 1 1 0 0000
58 35 1 1 -304 71 -4 0 -4 0000
-11 -14 0 0 -321 143 0 2 -1 0000
-6 12 0 0 -284 99 1 -2 -1 0000
-51 -47 -1 -1 -290 100 2 1 -3 0000
16 -24 0 0 -313 115 3 1 0 0000
-17 1 0 0 -278 120 -1 -2 2 0000
16 7 0 0 -312 91 2 -2 -1 0000
23 -34 0 0 -312 139 -2 0 -2 0000
33 -24 1 0 -293 151 -1 1 0 0000
-16 -4 0 0 -309 130 0 -2 0 0000
17 31 0 0 -285 148 -2 -1 -1 0000
-49 -18 -1 -1 -302 163 -2 1 -1 0000
-21 -19 0 0 -309 150 -2 2 2 0000
-23 18 0 0 -293 197 1 3 1 0000
-70 -61 -1 -1 -287 165 0 2 0 0000
4 -6 0 0 -285 160 1 -3 0 0000
9 -10 0 0 -305 195 2 -3 3 0000
-8 4 0 0 -286 172 -2 -2 2 0000
25 -19 1 0 -305 168 3 4 2 0000
-19 -44 0 0 -291 145 -2 -1 2 0000
-38 -65 -1 0 -284 196 1 1 1 0000
16 8 0 0 -301 165 0 2 3 0000
-21 14 0 0 -288 214 1 1 1 0000
46 61 1 1 -304 179 -3 0 0 0000
-10 -25 0 0 -280 208 -1 -1 0 0000
23 3 0 0 -333 197 1 -3 -1 0000
13 -12 0 0 -290 203 0 3 -1 0000
-20 -6 0 0 -326 236 2 1 0 0000
51 37 1 1 -308 201 0 -2 1 0000
23 29 0 0 -275 213 2 -1 -1 0000
6 -34 0 0 -311 219 -2 1 4 0000
12 -22 0 0 -308 224 -1 2 -3 0000
24 4 0 0 -346 207 -2 -1 -3 0000
6 -11 0 0 -311 237 -1 0 -5 0000
-86 -41 -2 -1 -291 268 -1 -2 -2 0000
12 4 0 0 -288 279 0 -3 2 0000
-7 -37 0 0 -316 272 2 2 1 0000
9 29 0 0 -331 258 0 -2 1 0000
21 21 0 0 -302 254 0 2 3 0000
46 11 1 1 -302 258 -5 2 -1 0000
-18 -36 0 0 -301 275 1 1 -1 0000
43 16 1 1 -292 261 0 3 4 0000
14 -13 0 0 -314 282 -3 7 3 0000
35 50 1 0 -283 294 -2 -2 -3 0000
32 13 1 0 -311 276 -1 -2 -2 0000
26 16 1 0 -279 272 1 -2 3 0000
-27 -1 -1 0 -289 262 2 -3 0 0000
2 11 0 0 -309 303 -2 1 -2 0000
23 49 0 0 -312 273 0 -1 2 0000
-24 -4 0 0 -299 347 -2 0 -2 0000
-12 32 0 0 -294 309 1 0 0 0000
22 2 0 0 -290 253 -4 1 -2 0000
28 -13 1 0 -303 306 -2 0 0 0000
19 5 0 0 -314 281 2 1 -1 0000
-22 -9 0 0 -334 346 0 1 4 0000
-28 -1 -1 0 -300 325 1 2 -2 0000
50 54 1 1 -330 316 3 -4 0 0000
13 4 0 0 -303 299 -2 1 0 0000
8 -1 0 0 -287 291 -1 0 0 0000
2 -7 0 0 -263 336 -1 -1 -1 0000
-31 -4 -1 0 -299 300 1 -1 -1 0000
24 -18 0 0 -278 327 0 -1 -5 0000
-1 15 0 0 -272 322 -2 1 2 0000
0 -26 0 0 -310 369 0 0 -2 0000
34 38 1 0 -294 302 1 -2 5 0000
30 15 1 0 -319 354 -2 -2 2 0000
47 63 1 1 -325 334 -1 1 0 0000
-9 -31 0 0 -289 333 -2 -4 1 0000
25 5 1 0 -276 348 -1 1 0 0000
48 33 1 1 -292 370 2 -3 -3 0000
-27 -11 -1 0 -293 362 1 4 2 0000
-20 -40 0 0 -324 372 1 -1 -2 0000
-28 -18 -1 0 -287 391 0 2 -1 0000
-38 -54 -1 0 -287 358 -1 2 -2 0000
9 16 0 0 -289 394 -3 -4 1 0000
26 5 1 0 -277 362 0 2 2 0000
42 33 1 1 -290 373 0 3 0 0000
38 45 1 0 -291 393 2 1 0 0000
-24 -11 0 0 -280 361 4 -1 -1 0000
62 53 1 1 -296 381 0 1 0 0000
-13 -10 0 0 -289 386 2 -1 2 0000
10 7 0 0 -305 423 1 -4 0 0000
-6 8 0 0 -304 403 3 1 -5 0000
3 2 0 0 -284 379 -2 0 2 0000
12 1 0 0 -296 378 -1 1 -3 0000
10 -14 0 0 -281 441 0 1 -5 0000
6 24 0 0 -294 393 0 1 -1 0000
10 46 0 0 -291 388 4 3 -2 0000
-7 15 0 0 -306 391 1 1 3 0000
-8 16 0 0 -291 430 -2 1 0 0000
-43 -38 -1 -1 -277 404 -1 3 2 0000
-4 0 0 0 -297 429 -2 -1 -1 0000
-8 -3 0 0 -298 410 3 -3 0 0000
88 65 2 1 -288 406 3 -1 2 0000
-33 -26 -1 0 -318 429 0 -2 -2 0000
12 -9 0 0 -318 385 -5 3 -2 0000
-37 -25 -1 0 -274 392 0 1 -2 0000
-36 34 -1 0 -320 444 0 2 2 0000
11 0 0 0 -304 402 2 3 2 0000
-22 6 0 0 -296 414 -2 -3 2 0000
8 -29 0 0 -294 451 -1 -1 0 0000
-5 56 0 0 -290 405 -1 -1 3 0000
-10 -36 0 0 -292 406 1 0 -3 0000
-53 -29 -1 -1 -293 461 5 -4 -1 0000
-29 -16 -1 0 -277 467 -4 2 -1 0000
14 5 0 0 -274 406 -1 -2 1 0000
25 -18 1 0 -314 456 0 2 -1 0000
-7 -24 0 0 -296 475 -5 0 0 0000
8 27 0 0 -287 475 -3 2 0 0000
42 28 1 1 -307 413 -4 1 -1 0000
52 30 1 1 -289 460 -1 1 -2 0000
-24 -8 0 0 -315 446 -1 -3 -2 0000
5 7 0 0 -270 440 1 1 -5 0000
45 30 1 1 -313 441 1 0 -1 0000
-5 12 0 0 -280 441 -4 0 2 0000
7 17 0 0 -283 459 2 3 2 0000
6 30 0 0 -278 467 -1 0 -2 0000
-18 -12 0 0 -327 452 0 2 4 0000
-4 4 0 0 -297 478 0 -3 0 0000
8 -38 0 0 -281 465 0 -1 0 0000
-3 25 0 0 -309 455 1 -1 -2 0000
43 43 1 1 -301 474 -1 -5 -1 0000
-5 -7 0 0 -297 449 -3 0 -1 0000
-4 36 0 0 -268 487 -2 0 -2 0000
30 13 1 0 -305 472 -1 -1 0 0000
-22 -6 0 0 -296 463 4 1 -3 0000
8 -25 0 0 -305 489 1 2 -3 0000
-37 -18 -1 0 -311 454 -1 1 1 0000
45 11 1 1 -303 467 -2 1 1 0000
1 -12 0 0 -283 488 -2 -2 2 0000
-4 35 0 0 -299 473 1 1 1 0000
-27 7 -1 0 -291 458 2 0 0 0000
10 -8 0 0 -297 504 -3 -4 -1 0000
-14 11 0 0 -292 525 0 -2 1 0000
-6 17 0 0 -278 488 1 1 0 0000
49 41 1 1 -280 518 4 -2 -1 0000
5 3 0 0 -309 499 -1 -2 -1 0000
-22 -8 0 0 -303 480 -4 1 2 0000
15 26 0 0 -299 478 0 -1 -2 0000
-1 -8 0 0 -292 498 0 -1 0 0000
28 48 1 0 -289 468 1 4 -1 0000
53 30 1 1 -301 499 -1 1 -1 0000
-19 11 0 0 -293 468 -3 -1 4 0000
24 20 0 0 -272 538 0 -2 0 0000
13 -5 0 0 -292 496 -1 -2 0 0000
38 21 1 0 -306 481 1 1 1 0000
4 13 0 0 -300 485 5 -1 -2 0000
35 10 1 0 -274 505 -1 -2 -1 0000
-43 -38 -1 -1 -308 496 0 0 2 0000
59 47 1 1 -279 502 1 2 2 0000
31 31 1 0 -330 492 -2 2 0 0000
-4 19 0 0 -282 492 0 -2 3 0000
-52 -20 -1 -1 -307 523 1 -1 1 0000
-3 17 0 0 -288 500 0 0 -2 0000
-28 -27 -1 0 -296 508 -1 1 2 0000
-69 -8 -1 -1 -286 471 -2 1 0 0000
-98 -45 -2 -1 -283 510 -4 -1 -1 0000
-157 -99 -3 -2 -272 477 -5 2 -4 0000
-165 -108 -3 -2 -302 492 0 0 0 0000
-198 -146 -4 -2 -279 502 0 -4 -1 0000
-237 -126 -5 -3 -304 491 1 0 -1 0000
-275 -196 -6 -3 -294 522 0 -2 2 0000
-204 -95 -4 -2 -284 486 -1 3 -1 0000
-182 -114 -4 -2 -298 507 0 0 -2 0000
-178 -99 -4 -2 -276 495 2 -1 2 0000
-131 -98 -3 -2 -302 526 -2 1 1 0000
28 33 1 0 -305 515 0 1 0 0000
171 131 3 2 -311 498 3 0 2 0000
423 249 8 5 -275 473 1 2 -1 0000
689 441 14 8 -309 490 0 -2 -1 0000
1065 650 21 13 -299 474 -1 0 -2 0000
1485 901 30 18 -280 496 2 -2 4 0000
1730 1050 35 21 -290 534 1 -3 -5 0000
1832 1085 37 22 -295 491 -1 0 -1 0001
1765 1051 35 21 -260 511 -2 -4 -3 0000
1440 834 29 17 -256 512 0 -2 0 0000
1005 572 20 12 -294 507 3 0 -1 0000
695 421 14 8 -284 466 0 2 1 0000
393 209 8 5 -256 507 4 1 0 0000
174 101 3 2 -266 502 -3 -2 1 0000
-94 -89 -2 -1 -270 492 0 3 -3 0000
-187 -89 -4 -2 -252 473 -2 -3 2 0000
-225 -125 -4 -3 -241 509 -1 2 -2 0000
-251 -168 -5 -3 -238 472 2 -2 2 0000
-228 -129 -5 -3 -260 496 -1 0 2 0000
-182 -92 -4 -2 -245 468 -1 0 1 0000
-167 -133 -3 -2 -256 482 -1 1 -3 0000
-17 -14 0 0 -246 441 -1 3 -3 0000
-21 -15 0 0 -249 475 2 1 0 0000
23 22 0 0 -244 515 -2 -2 1 0000
83 35 2 1 -220 507 -4 1 0 0000
104 76 2 1 -223 472 -1 1 1 0000
127 71 3 2 -239 531 1 1 3 0000
197 107 4 2 -227 459 4 3 4 0000
165 72 3 2 -208 489 -2 -1 2 0000
149 40 3 2 -168 492 0 1 2 0000
213 119 4 3 -176 448 2 2 -2 0000
205 159 4 2 -189 491 1 -3 4 0000
214 142 4 3 -171 502 1 -2 2 0000
211 109 4 3 -181 504 -1 -5 -2 0000
269 167 5 3 -180 517 0 0 0 0000
265 122 5 3 -150 465 0 1 2 0000
299 195 6 4 -147 486 -1 -1 1 0000
290 164 6 3 -141 484 0 -1 -3 0000
290 150 6 3 -102 485 -2 2 -2 0000
360 188 7 4 -127 449 0 0 1 0000
327 228 7 4 -125 507 1 3 1 0000
375 217 7 4 -97 462 -4 1 0 0000
321 192 6 4 -84 433 1 1 1 0000
354 188 7 4 -60 458 -1 0 -1 0000
369 216 7 4 -28 470 1 3 1 0000
374 250 7 4 -18 434 3 3 -2 0000
434 238 9 5 19 496 -2 -1 1 0000
399 236 8 5 15 436 -3 5 -4 0000
412 284 8 5 1 381 -3 -1 1 0000
381 217 8 5 14 449 -4 0 2 0000
391 266 8 5 25 463 0 -2 3 0000
444 262 9 5 45 467 2 2 0 0000
453 258 9 5 45 445 -1 3 1 0000
452 274 9 5 65 454 -1 2 2 0000
371 219 7 4 52 412 -1 4 2 0000
471 293 9 6 107 458 -2 0 4 0000
436 262 9 5 82 451 0 -1 1 0000
399 215 8 5 128 458 1 1 -1 0000
415 231 8 5 134 453 -2 1 -4 0000
357 208 7 4 106 438 -2 -1 0 0000
345 194 7 4 167 417 4 -3 0 0000
370 198 7 4 175 436 1 -2 0 0000
323 200 6 4 193 423 -2 2 0 0000
353 214 7 4 170 451 1 2 -2 0000
375 223 8 5 213 455 2 1 1 0000
293 206 6 4 189 432 0 -1 -2 0000
289 181 6 3 226 404 -1 0 1 0000
300 205 6 4 222 429 5 0 2 0000
255 134 5 3 239 417 0 1 1 0000
261 122 5 3 237 419 0 0 1 0000
285 162 6 3 253 402 -1 -1 -2 0000
274 171 5 3 274 349 -1 0 -1 0000
244 181 5 3 296 414 0 1 4 0000
163 97 3 2 261 405 0 0 -2 0000
204 126 4 2 265 383 2 -1 -1 0000
225 103 5 3 280 405 2 -2 -5 0000
205 156 4 2 294 410 -1 2 2 0000
163 49 3 2 300 369 -1 1 3 0000
77 49 2 1 305 355 -1 -3 0 0000
148 62 3 2 253 387 1 0 1 0000
153 119 3 2 315 369 0 -2 1 0000
127 83 3 2 302 370 -4 -1 2 0000
121 77 2 1 313 356 -3 -1 4 0000
121 82 2 1 295 374 1 2 2 0000
87 53 2 1 329 342 2 0 -3 0000
131 64 3 2 300 405 1 -2 1 0000
98 90 2 1 238 349 0 1 1 0000
40 51 1 0 253 345 1 -2 -2 0000
113 85 2 1 269 335 2 4 1 0000
102 69 2 1 235 332 -2 -1 0 0000
85 75 2 1 270 309 -1 -3 1 0000
6 0 0 0 253 356 1 -3 0 0000
34 -18 1 0 249 372 -2 1 -3 0000
66 30 1 1 230 339 -1 2 -2 0000
45 8 1 1 218 314 0 -1 0 0000
51 37 1 1 239 353 2 0 -1 0000
